Column,书名,链接,信息
48,1984,https://book.douban.com/subject/4820710/,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00
49,莲花,https://book.douban.com/subject/1529893/,安妮宝贝 / 作家出版社 / 2006-3 / 25.00元
50,苏菲的世界,https://book.douban.com/subject/1045818/,（挪威）乔斯坦·贾德 / 萧宝森 / 作家出版社 / 1999-04 / 26.80元
51,哈利·波特与凤凰社,https://book.douban.com/subject/1013129/,[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2003-9 / 59.00元
52,悟空传:修订版,https://book.douban.com/subject/1003000/,今何在 / 光明日报出版社 / 2001-4 / 14.80元
53,牧羊少年奇幻之旅,https://book.douban.com/subject/3608208/,[巴西]保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元
54,人类简史:从动物到上帝,https://book.douban.com/subject/25985021/,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / CNY 68.00
55,天龙八部,https://book.douban.com/subject/1255625/,金庸 / 有1996年11月北平第4次印刷本 / 三联书店 / 1994-5 / 96.0
56,哈利·波特与死亡圣器,https://book.douban.com/subject/2295163/,[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2007-10 / 66.00元
57,呼啸山庄,https://book.douban.com/subject/1119522/,（英）勃朗特 / 张扬 / 人民文学出版社 / 1999-01-01 / 27.30元
58,亲爱的安德烈,https://book.douban.com/subject/3369793/,龙应台 / 人民文学出版社 / 2008-12 / 26.00
59,灿烂千阳,https://book.douban.com/subject/2143732/,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元
60,基督山伯爵,https://book.douban.com/subject/1085860/,大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元
61,无声告白,https://book.douban.com/subject/26382433/,[美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元
62,海边的卡夫卡,https://book.douban.com/subject/1059419/,[日] 村上春树 / 林少华 / 上海译文出版社 / 2003-4 / 25.00元
63,兄弟（上）,https://book.douban.com/subject/1401425/,余华 / 上海文艺出版社 / 2005-8 / 16.00元
64,笑傲江湖（全四册）,https://book.douban.com/subject/1002299/,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元
65,鲁滨逊漂流记,https://book.douban.com/subject/1016003/,[英] 笛福 / 马静 / 广西民族出版社 / 2002-1 / 9.20元
66,白鹿原,https://book.douban.com/subject/1085799/,陈忠实 / 人民文学出版社 / 1997-12 / 28.00元
67,福尔摩斯探案全集（上中下）,https://book.douban.com/subject/1040211/,[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元
68,少有人走的路:心智成熟的旅程,https://book.douban.com/subject/1775691/,[美] M·斯科特·派克 / 于海生 / 吉林文史出版社 / 2007-1 / 26.00元
69,茶花女,https://book.douban.com/subject/1013380/,小仲马 / 王振孙 / 外国文学出版社 / 1997-3 / 9.00元
70,一个陌生女人的来信,https://book.douban.com/subject/2154960/,[奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元
71,沉默的大多数:王小波杂文随笔全编,https://book.douban.com/subject/1054685/,王小波 / 中国青年出版社 / 1997-10 / 27.00元
72,局外人,https://book.douban.com/subject/4908885/,[法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-9 / 22.00元
73,民主的细节:美国当代政治观察随笔,https://book.douban.com/subject/3813669/,刘瑜 / 上海三联书店 / 2009-6 / 25.00
74,情书,https://book.douban.com/subject/1080370/,[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元
